"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00012833","CROSS CITY AIRPORT, FL US","29.63333","-83.10528","11.6","2024",,,,,,,,,,,,,,,,,"1113","1",,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","29.17351","-81.07185","7.9","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000FOLU","OLUSTEE FLORIDA, FL US","30.2","-82.4","45.7","2024","3160",,,,,,"26","U,1207,+",,,,,,,"100","U,0625, ","1030","1",,,,,"70.8","U","82.6","U","58.9","U"
"US1FLLE0072","FORT MYERS 1.7 WNW, FL US","26.637205","-81.877153","2.7","2024",,,,,,,,,,,,,"6.63"," ,N,0116, ",,,,,"74.70"," ,N",,,,,,,,
"US1FLAL0048","GAINESVILLE 5.4 W, FL US","29.67778","-82.426389","49.7","2024",,,,,,,,,,,,,"5.73"," ,N,0805, ",,,,,"48.85"," ,N",,,,,,,,
"US1FLSL0013","PORT ST. LUCIE 2.4 SSW, FL US","27.249422","-80.371835","11.0","2024",,,,,,,,,,,,,"4.34"," ,N,0920, ",,,,,"65.65"," ,N",,,,,,,,
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2024","4229",,"        0",,"         0","7","38","7,0121, ","0"," ,7,1231,+","0.0"," ,7,1231,+","5.47"," ,7,0822, ","98","7,0530, ","292","4","66.57"," ,7","0.0"," ,7","75.6","7","84.6","7","66.7","7"
"US1FLHL0003","LAKE PLACID 1.1 WSW, FL US","27.2877","-81.3853","32.9","2024",,,,,,,,,,,,,"3.49"," ,N,0629, ",,,,,"56.62"," ,N",,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","28.77951","-81.24356","14.9","2024","3868",,"        0",,"         0","D","38","W,0121, ","0"," ,D,1231,+","0.0"," ,D,1231,+","6.77"," ,W,1009, ","101","W,0606, ","426","5","53.45"," ,W","0.0"," ,D","74.3","W","83.7","W","64.8","W"
"USC00085377","MARIANNA 7 NE, FL US","30.7341","-85.0305","35.1","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLHB0044","RUSKIN 1.8 ESE, FL US","27.705656","-82.400519","17.1","2024",,,,,"         0","N",,,,,"0.0"," ,N,1231,+","10.87"," ,N,1010, ",,,,,"61.70"," ,N","0.0"," ,N",,,,,,
"USC00080236","ARCHBOLD BIO STATION, FL US","27.18181","-81.35098","41.5","2024","3736",,"        0",,"         0","7","25","7,1203, ","0"," ,7,1231,+","0.0"," ,7,1231,+","2.81"," ,7,0902, ","100","7,0527, ","436","5","48.44"," ,7","0.0"," ,7","73.8","7","86.1","7","61.6","7"
"USC00080478","BARTOW 1 SE, FL US","27.88634","-81.83255","34.1","2024","3856",,"        0",,"         0","7","37","7,1204,+","0"," ,7,1231,+","0.0"," ,7,1231,+","5.85"," ,7,1010, ","100","7,0607, ","433","4","53.82"," ,7","0.0"," ,7","74.2","7","84.9","7","63.6","7"
"USW00012850","KEY WEST NAS, FL US","24.58333","-81.68333","1.8","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00084289","INVERNESS 3 SE, FL US","28.80286","-82.31266","17.7","2024","3545",,"        0",,"         0","7","29","7,1203, ","0"," ,7,1231,+","0.0"," ,7,1231,+","6.92"," ,7,1010, ","100","7,0609, ",,,"60.05"," ,7","0.0"," ,7","72.5","7","84.3","7","60.6","7"
"US1FLHB0048","GREATER NORTHDALE 0.4 ENE, FL US","28.107081","-82.513162","25.9","2024",,,,,,,,,,,,,"10.75"," ,N,1010, ",,,,,"71.14"," ,N",,,,,,,,
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2024","3159",,"        0",,"         0","7","33","7,1213,+","0"," ,7,1231,+","0.0"," ,7,1231,+","8.40"," ,7,1010, ","98","7,0610, ","829","6","67.14"," ,7","0.0"," ,7","71.2","7","81.4","7","61.1","7"
"US1FLHB0168","CARROLLWOOD VILLAGE 2.3 W, FL US","28.070012","-82.558739","11.6","2024",,,,,,,,,,,,,"11.75"," ,N,1010, ",,,,,"68.69"," ,N",,,,,,,,
"US1FLPN0035","GULFPORT 0.9 NNW, FL US","27.758823","-82.71644","5.8","2024",,,,,,,,,,,,,"7.65"," ,N,0805, ",,,,,"65.63"," ,N",,,,,,,,
"US1FLPN0034","ST. PETERSBURG 3.2 NNW, FL US","27.803252","-82.65457","15.2","2024",,,,,,,,,,,,,"10.05"," ,N,1010, ",,,,,"75.85"," ,N",,,,,,,,
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000FCHE","CHEKIKA FLORIDA, FL US","25.625","-80.5797","1.5","2024","4875",,,,,,"52","U,0130, ",,,,,,,"97","U,0526,+","36","1",,,,,"78.2","U","85.1","U","71.3","U"
"US1FLAL0031","GAINESVILLE 6.5 NW, FL US","29.737964","-82.416213","55.2","2024",,,,,,,,,,,,,"5.12"," ,N,0805, ",,,,,"57.63"," ,N",,,,,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6851","-80.09918","3.5","2024","4718",,,,,,"48","W,1123,+",,,,,"4.81"," ,W,0430, ","99","W,0528, ","94","2","63.29"," ,W",,,"77.6","W","84.7","W","70.5","W"
"US1FLHL0012","SYLVAN SHORES 8.5 NE, FL US","27.405027","-81.246061","25.9","2024",,,,,,,,,,,,,"3.52"," ,N,0730, ",,,,,"48.85"," ,N",,,,,,,,
"US1FLLK0030","LEESBURG 2.7 NW, FL US","28.836163","-81.913656","23.2","2024",,,,,,,,,,,,,"6.19"," ,N,1009, ",,,,,"64.07"," ,N",,,,,,,,
"US1FLSW0014","SUWANNEE SPRINGS 0.9 S, FL US","30.379973","-82.936585","29.9","2024",,,,,,,,,,,,,"6.11"," ,N,0806, ",,,,,"54.16"," ,N",,,,,,,,
"US1FLIR0027","VERO BEACH 2.5 S, FL US","27.610172","-80.39295","6.4","2024",,,,,,,,,,,,,"7.06"," ,N,1010, ",,,,,"63.01"," ,N",,,,,,,,
"US1FLIR0026","VERO BEACH 3.5 SSW, FL US","27.59959","-80.416643","5.8","2024",,,,,,,,,,,,,"8.73"," ,N,1010, ",,,,,"62.10"," ,N",,,,,,,,
"US1FLHB0055","TAMPA 5.0 NNE, FL US","28.0126","-82.4155","15.8","2024",,,,,,,,,,,,,"11.79"," ,N,1010, ",,,,,"68.74"," ,N",,,,,,,,
"US1FLIR0024","VERO BEACH 3.4 W, FL US","27.642899","-80.44938","5.8","2024",,,,,,,,,,,,,"7.42"," ,N,1010, ",,,,,"61.65"," ,N",,,,,,,,
"US1FLHB0178","RUSKIN 3.2 W, FL US","27.708233","-82.48065","1.5","2024",,,,,,,,,,,,,"10.85"," ,N,1010, ",,,,,"59.69"," ,N",,,,,,,,
"USW00012861","OCALA JIM TAYLOR FIELD, FL US","29.16667","-82.23333","26.5","2024","3336",,,,,,"29","W,1203, ",,,,,,,"98","W,0614,+",,,,,,,"72.3","W","83.0","W","61.6","W"
"USC00087304","PORT SALERNO 5 W, FL US","27.0997","-80.2627","3.7","2024","3976",,,,,,"45","7,0220,+",,,,,"5.46"," ,7,0613, ","97","7,0528,+","185","0","56.72"," ,7",,,"75.3","7","83.4","7","67.2","7"
"USC00088756","TALLAHASSEE AIRPORT, FL US","30.39638","-84.35581","16.8","2024",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","4.33"," ,7,0927, ","100","7,0903, ",,,"54.24"," ,7","0.0"," ,7",,,"81.5","7",,
"USC00083986","HILLSBOROUGH RVR ST PARK, FL US","28.1469","-82.2276","16.2","2024",,,,,,,,,,,,,"12.80"," ,7,1010, ",,,,,"62.25"," ,7",,,,,,,,
"USC00087429","QUINCY 3 SSW, FL US","30.54509","-84.59855","72.2","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPS0043","LAND O LAKES 1.5 SSE, FL US","28.202699","-82.440046","26.8","2024",,,,,,,,,,,,,"6.28"," ,N,1010, ",,,,,"58.68"," ,N",,,,,,,,
"US1FLHB0051","LUTZ 2.2 SSE, FL US","28.11046","-82.446","25.9","2024",,,,,,,,,,,,,"3.00"," ,N,0805, ",,,,,"49.57"," ,N",,,,,,,,
"US1FLHL0001","LAKE PLACID 4.8 NW, FL US","27.342366","-81.42898","29.6","2024",,,,,,,,,,,,,"5.78"," ,N,0729, ",,,,,"50.63"," ,N",,,,,,,,
"US1FLSL0033","FORT PIERCE 5.1 SSW, FL US","27.370372","-80.342765","1.5","2024",,,,,,,,,,,,,"5.15"," ,N,1218, ",,,,,"71.65"," ,N",,,,,,,,
"US1FLLK0021","LADY LAKE 1.2 ESE, FL US","28.92","-81.9116","27.1","2024",,,,,,,,,,,,,"7.94"," ,N,1010, ",,,,,"67.45"," ,N",,,,,,,,
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","29.65547","-82.31708","53.3","2024",,,,,,,,,,,,,"4.18"," ,N,0805, ",,,,,"51.01"," ,N",,,,,,,,
"USW00092821","TITUSVILLE 7 E, FL US","28.6159","-80.6929","0.9","2024","3438",,,,,,"40","R,0121, ",,,,,"4.41"," ,R,0611, ","94","R,0609,+","432","3","50.54"," ,R",,,"73.1","R","81.3","R","64.9","R"
"US1FLNS0017","FERNANDINA BEACH 2.3 S, FL US","30.62435","-81.442733","4.0","2024",,,,,,,,,,,,,"4.24"," ,N,0913, ",,,,,"52.88"," ,N",,,,,,,,
"US1FLBV0107","INDIALANTIC 2.1 NNW, FL US","28.116404","-80.580601","5.5","2024",,,,,,,,,,,,,"3.55"," ,N,1010, ",,,,,"55.48"," ,N",,,,,,,,
"US1FLVL0087","PORT ORANGE 0.8 NNW, FL US","29.12087","-81.01041","12.2","2024",,,,,,,,,,,,,"13.50"," ,N,1010, ",,,,,"71.01"," ,N",,,,,,,,
"US1FLIR0019","SEBASTIAN 2.0 SSW, FL US","27.759845","-80.492657","7.9","2024",,,,,,,,,,,,,"6.43"," ,N,1010, ",,,,,"49.71"," ,N",,,,,,,,
"USC00088782","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","27.70532","-82.40092","12.2","2024","4348",,,,,,"37","7,0121, ",,,,,"10.85"," ,7,1009, ","100","7,0530, ","344","0","62.48"," ,7",,,"75.9","7","85.4","7","66.3","7"
"US1FLNS0014","FERNANDINA BEACH 6.3 SW, FL US","30.597876","-81.528411","6.4","2024",,,,,,,,,,,,,"3.84"," ,N,0910, ",,,,,"74.04"," ,N",,,,,,,,
"USC00086240","NICEVILLE, FL US","30.5316","-86.4928","22.6","2024","2746",,,,,,"18","7,0118, ",,,,,"4.30"," ,7,0514, ","99","7,0819, ","1740","6","62.40"," ,7",,,"68.2","7","78.9","7","57.5","7"
"USW00012876","WINTER HAVEN GILBERT AIRPORT, FL US","28.06137","-81.75684","43.5","2024","4233",,"        0",,"         0","D","37","W,0121, ","0"," ,D,1231,+","0.0"," ,D,1231,+","4.60"," ,W,1009, ","102","W,0606, ","387","9","48.06"," ,W","0.0"," ,D","75.7","W","85.5","W","65.9","W"
"US1FLPK0078","LOUGHMAN 2.0 ESE, FL US","28.221142","-81.544237","26.8","2024",,,,,,,,,,,,,"4.73"," ,N,1010, ",,,,,"44.11"," ,N",,,,,,,,
"USW00012873","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","27.91255","-82.68555","0.1","2024",,,"        0",,"         0","D",,,"0"," ,D,1231,+","0.0"," ,D,1231,+","9.18"," ,W,1009, ",,,"345","9","59.55"," ,W","0.0"," ,D",,,,,,
"USW00092827","SEBRING 23 SSE, FL US","27.1526","-81.3689","45.7","2024","3804",,,,,,"37","R,1221,+",,,,,"3.14"," ,R,1009, ","100","R,0526, ","337","2","50.41"," ,R",,,"74.4","R","85.4","R","63.4","R"
"US1FLBW0155","COOPER CITY 1.3 NE, FL US","26.057653","-80.275665","0.0","2024",,,,,,,,,,,,,,,,,,,"73.10"," ,N",,,,,,,,
"USC00088784","TAMPA 6 NE, FL US","28.05745","-82.47511","13.4","2024","4128",,"        0",,"         0","7","35","7,0121, ","0"," ,7,1231,+","0.0"," ,7,1231,+","11.65"," ,7,1010, ","100","7,0606,+",,,"74.95"," ,7","0.0"," ,7","75.0","7","85.4","7","64.7","7"
"USW00092826","EVERGLADES CITY 5 NE, FL US","25.8996","-81.3183","1.2","2024","4593",,,,,,"43","R,1204, ",,,,,"7.39"," ,R,0611, ","97","R,0812,+","113","9","71.54"," ,R",,,"77.2","R","86.1","R","68.3","R"
"US1FLPK0076","AUBURNDALE 2.4 NNE, FL US","28.1019","-81.7813","47.5","2024",,,,,,,,,,,,,"6.51"," ,N,1009, ",,,,,"54.46"," ,N",,,,,,,,
"USW00012871","SARASOTA BRADENTON AIRPORT, FL US","27.40146","-82.55863","5.3","2024","3911",,"        0",,"         0","D","39","W,0121, ","0"," ,D,1231,+","0.0"," ,D,1231,+","11.06"," ,W,0804, ","99","W,0530, ","280","7","78.07"," ,W","0.0"," ,D","75.1","W","83.4","W","66.9","W"
"USW00053853","DESTIN FORT WALTON BEACH AIRPORT, FL US","30.39333","-86.46738","5.4","2024","3343",,"        0",,"         0","D","24","W,0117, ","0"," ,D,1231,+","0.0"," ,D,1231,+","3.42"," ,W,1119, ","100","W,0807,+","1002","8","55.09"," ,W","0.0"," ,D","71.5","W","78.9","W","64.2","W"
"USW00053860","JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US","30.33708","-81.51277","11.9","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000FSAN","SANBORN FLORIDA, FL US","30.23","-84.68","22.6","2024",,,,,,,,,,,,,,,,,"1143","9",,,,,,,,,,
"US1FLPB0007","SUN VALLEY 0.8 SW, FL US","26.518","-80.145","5.8","2024",,,,,,,,,,,,,"3.21"," ,N,1007, ",,,,,"69.27"," ,N",,,,,,,,
"USC00084625","KISSIMMEE 2, FL US","28.2763","-81.424","18.3","2024",,,,,,,,,,,,,"2.00"," ,7,0701,+","101","7,0609,+",,,"43.04"," ,7",,,,,"85.1","7",,
"US1FLSS0059","NORTH PORT 4.2 E, FL US","27.041008","-82.127627","6.1","2024",,,,,,,,,,,,,"3.96"," ,N,0805, ",,,,,"53.17"," ,N",,,,,,,,
"USR0000FMER","MERRITT ISLAND FLORIDA, FL US","28.6408","-80.7308","9.1","2024","3612",,,,,,"40","U,0121,+",,,,,,,"96","U,0809,+","385","1",,,,,"73.7","U","82.7","U","64.7","U"
"USR0000FWIL","WILMA FLORIDA, FL US","30.1694","-84.9344","15.2","2024","3134",,,,,,"24","U,0117, ",,,,,,,"100","U,0622, ","1123","0",,,,,"70.6","U","81.9","U","59.2","U"
"US1FLBW0159","FORT LAUDERDALE 3.7 NNE, FL US","26.188457","-80.109403","1.2","2024",,,,,,,,,,,,,"9.32"," ,N,0613, ",,,,,"68.51"," ,N",,,,,,,,
"US1FLWS0001","VERNON 10.6 WSW, FL US","30.567783","-85.87305","20.1","2024",,,,,,,,,,,,,"3.46"," ,N,0514, ",,,,,"64.66"," ,N",,,,,,,,
"USC00080945","BRADENTON 5 ESE, FL US","27.43646","-82.49022","5.2","2024","4302",,"        0",,"         0","7","38","7,0121, ","0"," ,7,1231,+","0.0"," ,7,1231,+","7.00"," ,7,0804, ","100","7,0530, ","364","3","70.43"," ,7","0.0"," ,7","75.7","7","85.0","7","66.4","7"
"US1FLWS0006","VERNON 0.5 NW, FL US","30.625276","-85.71065","13.1","2024",,,,,,,,,,,,,"3.69"," ,N,0411, ",,,,,"72.33"," ,N",,,,,,,,
